Бізнес - підрозділи,,Засновник,Директор,Адміністративний,Фінансний,Продуктовий менеджер,Маркетингу,Продаж,Підтримки,АйТі,Розробки,Рекрутинг та кадри,Партнери,Інші,Інвестор,,,
Sourcing Manager,4,,,4,,,,,,,,,,,,,,
Finance Director,3,,,,3,,,,,,,,,,,,,
Director of Sales,3,,,,,,,3,,,,,,,,,,
EVP of Marketing,2,,,,,,2,,,,,,,,,,,
Graphic Designer,5,,,,,,5,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project Manager,3,,,,,3,,,,,,,,,,,,
Project,5,,,,,5,,,,,,,,,,,,
Project,5,,,,,5,,,,,,,,,,,,
After Sales Manager,4,,,,,,,4,,,,,,,,,,
Project Cost Engineer,4,,,,4,,,,,,,,,,,,,
Contracts Manager,3,,,,,,,3,,,,,,,,,,
Expert Designer,5,,,,,,5,,,,,,,,,,,
Bsc Process Engineer,5,,,,,,,,,5,,,,,,,,
Senior Mechanical Engineer,4,,,,,,,,,,4,,,,,,,
Traffic Manager,3,,,,,,,3,,,,,,,,,,
Chief Executive Officer,2,,2,,,,,,,,,,,,,,,
Lead Structural Engineer,4,,,,,,,,,,4,,,,,,,
Sales Manager,3,,,,,,,3,,,,,,,,,,
Marine Systems Engineer,5,,,,,,,,,,5,,,,,,,
Senior Piping Designer,4,,,,,,4,,,,,,,,,,,
Graphic Artist,5,,,,,,5,,,,,,,,,,,
Senior Project Buyer,4,,,4,,,,,,,,,,,,,,
Division Vice President,2,,2,,,,,,,,,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
Cofounder,1,1,,,,,,,,,,,,,,,,
Director of Sales,3,,,,,,,3,,,,,,,,,,
Chief Executive Officer,2,,2,,,,,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
Director of Engineering,3,,,,,,,,,,3,,,,,,,
DevOps,5,,,,,,,,,5,,,,,,,,
JavaScript Developer,5,,,,,,,,,,5,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
General Partner,1,,,,,,,,,,,,1,,,,,
partner,3,,,,,,,,,,,,3,,,,,
partner,3,,,,,,,,,,,,3,,,,,
partner,3,,,,,,,,,,,,3,,,,,
partner,3,,,,,,,,,,,,3,,,,,
partner,3,,,,,,,,,,,,3,,,,,
partner,3,,,,,,,,,,,,3,,,,,
SR. Account Executive,5,,,,,,,5,,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
"EVP, Sales & Success",2,,,,,,,2,,,,,,,,,,
VP of Marketing,2,,,,,,2,,,,,,,,,,,
Board Member,1,1,,,,,,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
Managing Partner,2,,,,,,,,,,,,2,,,,,
Content Marketing Manager,3,,,,,,3,,,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
Product Manager,3,,,,,3,,,,,,,,,,,,
Chief Creative Officer,2,,2,,,,,,,,,,,,,,,
Customer Success Manager,5,,,,,,,,5,,,,,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
Junior Software Engineer,5,,,,,,,,,,5,,,,,,,
Marketing Consultant,5,,,,,,5,,,,,,,,,,,
Director of Customer Success,3,,,,,,,,3,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
Product Designer / Paper Sculpture Artist,3,,,,,,3,,,,,,,,,,,
Head of DevOps,3,,,,,,,,,3,,,,,,,,
"Director, Customer Success",3,,,,,,,,3,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
Sales,5,,,,,,,5,,,,,,,,,,
Founding Team,1,1,,,,,,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
Front End Developer (Client),5,,,,,,,,,,5,,,,,,,
Sales Support Representative,5,,,,,,,5,,,,,,,,,,
"Product Design (ux, ui)",3,,,,,,3,,,,,,,,,,,
Design Consultant (ux strategy),3,,,,,,3,,,,,,,,,,,
Founding Team Member,1,1,,,,,,,,,,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Account manager,3,,,,,,,3,,,,,,,,,,
Finance Consultant,5,,,,5,,,,,,,,,,,,,
Accounts Receivable Manager,3,,,,,,,3,,,,,,,,,,
IT,3,,,,,,,,,3,,,,,,,,
Corporate Accountmanager,3,,,,,,,3,,,,,,,,,,
Senior Consultant,4,,,,,,4,,,,,,,,,,,
Owner,1,,,,,,,,,,,,,,1,,,
Head of Fundraising,3,,,,3,,,,,,,,,,,,,
Manager,3,,,,,,3,,,,,,,,,,,
Co-founder,1,1,,,,,,,,,,,,,,,,
Investor,1,,,,,,,,,,,,,,1,,,
Head Of Marketing,3,,,,,,3,,,,,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
Head of Sales,3,,,,,,,3,,,,,,,,,,
Customer Success Manager,3,,,,,,,,3,,,,,,,,,
Junior Software Engineer,5,,,,,,,,,,5,,,,,,,
Product Engineer,5,,,,,,,,,,5,,,,,,,
Business Development Manager,3,,,,3,,,,,,,,,,,,,
Software Development Engineer,5,,,,,,,,,5,,,,,,,,
Managing Director,3,,,3,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Board Member,1,1,,,,,,,,,,,,,,,,
Manager,3,,,,,,,,,,,,,3,,,,
Full Stack Engineer,3,,,,,,,,,3,,,,,,,,
Marketing,5,,,,,,5,,,,,,,,,,,
PR,5,,,,,,5,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Account Manager,5,,,,,,,5,,,,,,,,,,
Advisor,3,,,3,,,,,,,,,,,,,,
Owner,1,,,,,,,,,,,,,,1,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Backend Engineer,5,,,,,,,,,5,,,,,,,,
Product Marketing Intern,3,,,,,,3,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
CTO,2,,2,,,,,,,,,,,,,,,
Head of Customer Success,3,,,,,,,,3,,,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Content Marketing Lead,4,,,,,,4,,,,,,,,,,,
MBA Marketing Intern,4,,,,,,,,,4,,,,,,,,
General Counsel,5,,,,,,,,,,,,,5,,,,
Corporate Attorney,5,,,5,,,,,,,,,,,,,,
Client Service Manager,3,,,,,,,,3,,,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Platform Software Developer,5,,,,,,,,,,5,,,,,,,
"Senior Software Engineer, Team Lead",4,,,,,,,,,,4,,,,,,,
Software Engineer,3,,,,,,,,,,3,,,,,,,
Head of Business Intelligence,3,,,,3,,,,,,,,,,,,,
Software Engineer,3,,,,,,,,,,3,,,,,,,
Software Developer,5,,,,,,,,,,5,,,,,,,
Head of Product,3,,,,,3,,,,,,,,,,,,
User Experience,5,,,,,,,,5,,,,,,,,,
Software Engineer,3,,,,,,,,,,3,,,,,,,
Systems Engineer and ISMC member,3,,,,,,,,,3,,,,,,,,
Content Developer,5,,,,,,,,,,5,,,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
Lead Designer,4,,,,,,4,,,,,,,,,,,
Software Engineering Intern,5,,,,,,,,,,5,,,,,,,
CTO,2,,2,,,,,,,,,,,,,,,
Lead Engineer,4,,,,,,,,,4,,,,,,,,
Senior Sales Executive,4,,,,,,,4,,,,,,,,,,
Lead Generation Associate,4,,,4,,,,,,,,,,,,,,
Senior Developer,4,,,,,,,,,,4,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
Independent Consultant,5,,,,,,,,,,,,,5,,,,
Independent Consultant,5,,,,,,,,,,,,,5,,,,
Independent Consultant,5,,,,,,,,,,,,,5,,,,
Independent Consultant,5,,,,,,,,,,,,,5,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
Product,3,,,,,3,,,,,,,,,,,,
Co-founder,1,1,,,,,,,,,,,,,,,,
Engineering,3,,,,,,,,,3,,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Customer Success,5,,,,,,,,5,,,,,,,,,
Senior UX Engineer,4,,,,,,,,,4,,,,,,,,
Head of UX Development,3,,,,,,,,,,3,,,,,,,
Engineering,3,,,,,,,,,3,,,,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
Software Engineer,3,,,,,,,,,,3,,,,,,,
Consultant,5,,,,,,,,,,,,,5,,,,
Product,5,,,,,5,,,,,,,,,,,,
Marketing,5,,,,,,5,,,,,,,,,,,
Director of Sales,3,,,,,,,3,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
Intern,5,,,,,,,,,,,,,5,,,,
Intern,5,,,,,,,,,,,,,5,,,,
Intern,5,,,,,,,,,,,,,5,,,,
Director Of Sales,3,,,,,,,3,,,,,,,,,,
Business Development,5,,,,,,,,,,5,,,,,,,
Co-founder,1,1,,,,,,,,,,,,,,,,
COO,2,,2,,,,,,,,,,,,,,,
Software Engineer,3,,,,,,,,,,3,,,,,,,
Customer Success Manager,3,,,,,,,,3,,,,,,,,,
Director of New Business and Accounts,3,,,3,,,,,,,,,,,,,,
Director Of User Experience,3,,,,,,,,3,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Graphic Designer,5,,,,,,5,,,,,,,,,,,
Sales Manager,3,,,,,,,3,,,,,,,,,,
Marketing Manager,3,,,,,,3,,,,,,,,,,,
Senior Designer,4,,,,,,4,,,,,,,,,,,
Freelance Designer,5,,,,,,5,,,,,,,,,,,
Client Services Manager,3,,,,,,,,3,,,,,,,,,
Design Director,3,,,,,,3,,,,,,,,,,,
Creative Director,3,,,3,,,,,,,,,,,,,,
"Sales Executive, Enterprise Accounts",5,,,,,,,5,,,,,,,,,,
Director of Inside Sales,3,,,,,,,3,,,,,,,,,,
VP of Operations,2,,,2,,,,,,,,,,,,,,
"Director, Customer Success",3,,,,,,,,3,,,,,,,,,
DevOps Engineer,3,,,,,,,,,3,,,,,,,,
Member of the Advisory Board,1,1,,,,,,,,,,,,,,,,
Board Member,1,1,,,,,,,,,,,,,,,,
Board Member,1,1,,,,,,,,,,,,,,,,
Strategic Advisor,3,,,3,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Member Of The Board Of Advisors,1,1,,,,,,,,,,,,,,,,
Development Team Lead,4,,,,,,,,,,4,,,,,,,
Senior DevOps,4,,,,,,,,,4,,,,,,,,
VP Sales,2,,,,,,,2,,,,,,,,,,
Account Manager,3,,,,,,,3,,,,,,,,,,
Advisor,3,,,3,,,,,,,,,,,,,,
Board Member,1,1,,,,,,,,,,,,,,,,
"Director, Sales",3,,,,,,,3,,,,,,,,,,
Director Institutional Sales,3,,,,,,,3,,,,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Mid-Market Business Development Representative,4,,,,,,,4,,,,,,,,,,
"Director, Marketing and Communications",3,,,,,,3,,,,,,,,,,,
CTO,2,,2,,,,,,,,,,,,,,,
Customer Success Manager,3,,,,,,,,3,,,,,,,,,
"Director, People & Culture",3,,,3,,,,,,,,,,,,,,
Sales Development Representative,5,,,,,,,5,,,,,,,,,,
Lead Data Scientist,4,,,,,,,,,,4,,,,,,,
Senior Executive Assistant,4,,,,,,4,,,,,,,,,,,
Marketing and Communications Coordinator,5,,,,,,5,,,,,,,,,,,
Software Development Intern,5,,,,,,,,,,5,,,,,,,
Sales Development Representative,5,,,,,,,5,,,,,,,,,,
Data Engineer,5,,,,,,,,,5,,,,,,,,
Inside Sales,5,,,,,,,5,,,,,,,,,,
Developer,5,,,,,,,,,,5,,,,,,,
Software Developer,5,,,,,,,,,,5,,,,,,,
UI Designer,5,,,,,,5,,,,,,,,,,,
UX Designer,5,,,,,,5,,,,,,,,,,,
Client Services,5,,,,,,,,5,,,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Software Developer,5,,,,,,,,,,5,,,,,,,
Head of Design,3,,,,,,3,,,,,,,,,,,
Full Stack Software Developer,5,,,,,,,,,,5,,,,,,,
Software Development Team Lead,4,,,,,,,,,4,,,,,,,,
VP Inside Sales,2,,,,,,,2,,,,,,,,,,
Director of Sales Operations,3,,,,,,,3,,,,,,,,,,
Sales Engineering,3,,,,,,,3,,,,,,,,,,
Advisor,3,,,3,,,,,,,,,,,,,,
"VP, Engineering and Services",2,,,,,,,,,2,,,,,,,,
Account Executive,5,,,,,,,5,,,,,,,,,,
Sales Operations Manager,3,,,,,,,3,,,,,,,,,,
Senior Mid-Market Account Executive,4,,,,,,,4,,,,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
CMO,2,,2,,,,,,,,,,,,,,,
Board member,1,1,,,,,,,,,,,,,,,,
Board Observer,1,1,,,,,,,,,,,,,,,,
Board of Advisors,1,1,,,,,,,,,,,,,,,,
Senior Business Development Representative,4,,,,,,,4,,,,,,,,,,
Board Member,1,1,,,,,,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
Chief Marketing Officer,2,,2,,,,,,,,,,,,,,,
Founder,1,1,,,,,,,,,,,,,,,,
Chief Product Officer,2,,2,,,,,,,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
Director of Alliances,3,,,3,,,,,,,,,,,,,,
Mid-Market Business Development Representative,4,,,,,,,4,,,,,,,,,,
Head Of Professional Services,3,,,3,,,,,,,,,,,,,,
IT Support Associate,5,,,,,,,,,5,,,,,,,,
Customer Engagement,5,,,5,,,,,,,,,,,,,,
Customer Success Manager,3,,,,,,,,3,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
"VP, People Operations",2,,,,,,2,,,,,,,,,,,
Marketing Campaigns Associate,5,,,,,,5,,,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
Sales Director,3,,,,,,,3,,,,,,,,,,
CFO,2,,2,,,,,,,,,,,,,,,
"General Manager, Slate",3,,,,,,3,,,,,,,,,,,
CTO,2,,2,,,,,,,,,,,,,,,
Events Manager,5,,,5,,,,,,,,,,,,,,
Customer Marketing,3,,,,,,3,,,,,,,,,,,
Customer Success Account Manager,3,,,,,,,,3,,,,,,,,,
Business Manager,3,,,,,,3,,,,,,,,,,,
Manager Staffing,3,,,,,,,,,,,3,,,,,,
Manager Recruiting,3,,,,,,,,,,,3,,,,,,
Account Executive,5,,,,,,,5,,,,,,,,,,
Customer Success Manager,3,,,,,,,,3,,,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Account Executive,5,,,,,,,5,,,,,,,,,,
Customer Analytics,5,,,,,,,,,5,,,,,,,,
Engagement Consultant,5,,,,,,,5,,,,,,,,,,
Events Manager,3,,,3,,,,,,,,,,,,,,
Customer Marketing,3,,,,,,3,,,,,,,,,,,
Customer Success Account Manager,3,,,,,,,,3,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
Business Manager Staffing,3,,,,,,3,,,,,,,,,,,
Recruiting,5,,,,,,,,,,,5,,,,,,
Customer Success Manager,3,,,,,,,,3,,,,,,,,,
Account Executive,5,,,,,,,5,,,,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Account Executive,5,,,,,,,5,,,,,,,,,,
Head of Business Development ,3,,,,,,,3,,,,,,,,,,
Strategic Partnerships,3,,,,,,,,,,,,3,,,,,
Sales Director,3,,,,,,,3,,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
Business Development Manager,3,,,,,,,3,,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
"Director, Account-Based Marketing",3,,,,,,3,,,,,,,,,,,
IT Manager,3,,,,,,,,,3,,,,,,,,
DevOps Manager,3,,,,,,,,,3,,,,,,,,
Talent Acquisition,5,,,,,,,,,,,5,,,,,,
Director of Sales Operations,3,,,,,,,3,,,,,,,,,,
Director of Sales Engineering ,3,,,,,,,3,,,,,,,,,,
Staff Accountant,5,,,,5,,,,,,,,,,,,,
Director of Engineering,3,,,,,,,,,3,,,,,,,,
Senior Customer Success Manager,4,,,,,,,,4,,,,,,,,,
Director Of Engineering,3,,,,,,,,,3,,,,,,,,
Account Executive,5,,,,,,,5,,,,,,,,,,
Sr. Manager Customer Enablement,4,,,,,,,4,,,,,,,,,,
Senior Marketing Operations Manager,4,,,,,,4,,,,,,,,,,,
Sales Training,5,,,,,,,5,,,,,,,,,,
Director of Marketing Communications,3,,,,,,3,,,,,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Senior Director of Sales,3,,,,,,,3,,,,,,,,,,
Sales Director,3,,,,,,,3,,,,,,,,,,
Senior Customer Success Manager,4,,,,,,,,4,,,,,,,,,
Mid Market Business Development,4,,,,,,,4,,,,,,,,,,
Sales Engineer,5,,,,,,,5,,,,,,,,,,
Software Architect,5,,,,,,,,,,5,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Customer Success Manager,5,,,,,,,,5,,,,,,,,,
Product Manager,3,,,,,3,,,,,,,,,,,,
Director of Product Management,3,,,,,3,,,,,,,,,,,,
Staffing Program Success Manager,3,,,,,,,3,,,,,,,,,,
"Senior Software Engineer, Team Lead",4,,,,,,,,,,4,,,,,,,
Account Executive,5,,,,,,,5,,,,,,,,,,
Marketing Operations Specialist,4,,,,,,4,,,,,,,,,,,
Director of Customer Success Operations,3,,,,,,,,3,,,,,,,,,
Senior Customer Success Manager,4,,,,,,,,4,,,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Business Development Manager,3,,,,,,,3,,,,,,,,,,
Director of Technical Support,3,,,3,,,,,,,,,,,,,,
Senior Implementation Manager,4,,,,,4,,,,,,,,,,,,
Senior Accountant,4,,,,4,,,,,,,,,,,,,
HR Generalist,5,,,,,,,,,,,5,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Sales Engineer,5,,,,,,,5,,,,,,,,,,
Software Engineer ,5,,,,,,,,,,5,,,,,,,
Product Support Associate,3,,,,,,,,3,,,,,,,,,
Customer Success Manager,3,,,,,,,,3,,,,,,,,,
Product Support Associate,3,,,3,,,,,,,,,,,,,,
Senior Product Designer,4,,,,,,4,,,,,,,,,,,
Business Development Representative,5,,,,,,,5,,,,,,,,,,
Product,5,,,5,,,,,,,,,,,,,,
Analytics,5,,,5,,,,,,,,,,,,,,
Director of Strategic Finance & Operations,3,,,,3,,,,,,,,,,,,,
Board of Directors Member,1,1,,,,,,,,,,,,,,,,
Vice President,2,,2,,,,,,,,,,,,,,,
Head of Platform,3,,3,,,,,,,,,,,,,,,
Vice President of Sales,2,,,,,,,2,,,,,,,,,,
DevOps Engineer,5,,,,,,,,,5,,,,,,,,
Director of Product,3,,,3,,,,,,,,,,,,,,
Board Observer,1,1,,,,,,,,,,,,,,,,
Investor,1,,,,,,,,,,,,,,1,,,
Board Of Directors,1,1,,,,,,,,,,,,,,,,
Product Designer,3,,,,,,3,,,,,,,,,,,
Director of Customer Success,3,,,,,,,,3,,,,,,,,,
Board Observer,1,1,,,,,,,,,,,,,,,,
Seed Investor,4,,,,,,,,,,,,,,4,,,
Office and Operations Manager,3,,,,,3,,,,,,,,,,,,
System Operations Engineer,5,,,,,,,,,5,,,,,,,,
Lead Applications Engineer,4,,,,,,,,,4,,,,,,,,
VP Business Development,2,,,,,,,2,,,,,,,,,,
Lead Platform Engineer,4,,,,,,,,,4,,,,,,,,
Customer Support Manager,5,,,,,,,5,,,,,,,,,,
Chief Editor,3,,,3,,,,,,,,,,,,,,
Sr. Program Manager,3,,,,,3,,,,,,,,,,,,
Program Manager,5,,,,,5,,,,,,,,,,,,
Program Manager,5,,,,,5,,,,,,,,,,,,
Technical Project Manager,3,,,,,3,,,,,,,,,,,,
Product Designer,3,,,,,,3,,,,,,,,,,,
VP of Operations,2,,,2,,,,,,,,,,,,,,
Board Member,1,1,,,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
VP of Sales,2,,,,,,,2,,,,,,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
"VP, Partnerships",2,,,,,,,,,,,,2,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
CTO,2,,2,,,,,,,,,,,,,,,
VP Business Development,2,,,,,,,2,,,,,,,,,,
Director Of Engineering,3,,,,,,,,,3,,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Product,5,,,,,,,5,,,,,,,,,,
Angel Investor,5,,,,,,,,,,,,,5,,,,
Executive Assistant to the CEO,3,,3,,,,,,,,,,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Software Architect,5,,,,,,,,,,5,,,,,,,
Director of Engineering,3,,,,,,,,,3,,,,,,,,
Board of Directors,1,1,,,,,,,,,,,,,,,,
Director of Sales,3,,,,,,,3,,,,,,,,,,
Business Development,5,,,,,,,5,,,,,,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
Customer Success Manager,5,,,,,,,,5,,,,,,,,,
Sr. Account Executive,3,,,,,,,3,,,,,,,,,,
Customer Success Manager,5,,,,,,,,5,,,,,,,,,
